"departurePoint","departureDate","totalCapacity","availableSeats","status","basePrice","trafficJam","weather","weatherSource","weatherTemperature","weatherWindSpeed","weatherPrecipitation","trajetId","actualDelayMinutes"
"Jendouba","2025-03-04T19:15:00","29","17","COMPLETED","63.02","false","SUNNY","AUTO","23.9","5.5","0.6","49","13"
"Siliana","2024-11-14T17:30:00","49","31","COMPLETED","25.47","false","SANDSTORM","AUTO","41.1","85.8","0.0","51","49"
"Nabeul","2023-06-09T18:45:00","25","14","COMPLETED","36.34","true","SUNNY","AUTO","28.8","9.2","0.4","68","50"
"Gabes","2023-05-12T01:00:00","60","49","COMPLETED","7.75","false","RAIN","AUTO","13.8","29.4","10.2","2","27"
"Zaghouan","2024-12-07T16:30:00","33","2","COMPLETED","58.75","true","SUNNY","AUTO","33.3","23.2","0.5","60","12"
"Tataouine","2024-01-17T06:00:00","38","14","COMPLETED","38.03","true","SUNNY","AUTO","24.1","6.2","0.1","53","33"
"Siliana","2022-07-06T19:15:00","53","50","COMPLETED","38.88","true","SUNNY","AUTO","29.1","10.9","0.0","65","47"
"Monastir","2024-05-13T23:45:00","52","27","COMPLETED","78.38","false","SUNNY","AUTO","37.6","12.4","0.4","61","17"
"Medenine","2023-10-29T11:45:00","24","24","COMPLETED","48.54","false","SANDSTORM","AUTO","37.0","46.0","0.0","62","71"
"Kairouan","2023-10-27T19:45:00","55","16","COMPLETED","43.03","false","RAIN","AUTO","12.5","46.8","29.1","64","15"
"Hammamet","2024-10-22T22:45:00","47","28","COMPLETED","56.96","true","RAIN","AUTO","13.4","47.9","22.6","54","24"
"Tataouine","2024-10-01T12:15:00","44","43","COMPLETED","15.38","false","SUNNY","AUTO","24.7","5.1","0.4","12","2"
"El Kef","2024-05-03T17:45:00","14","7","COMPLETED","22.71","false","STORM","AUTO","8.9","85.1","25.1","56","57"
"Tataouine","2023-10-17T08:45:00","35","27","COMPLETED","36.18","false","SUNNY","AUTO","26.9","10.6","0.4","60","8"
"Djerba","2023-03-20T00:00:00","9","7","COMPLETED","35.13","true","SUNNY","AUTO","30.7","10.6","0.6","51","65"
"Medenine","2023-04-04T19:00:00","25","3","COMPLETED","41.73","true","SUNNY","AUTO","29.5","19.3","0.0","72","45"
"Gabes","2024-01-12T07:45:00","28","3","COMPLETED","77.33","true","SUNNY","AUTO","36.5","7.3","0.7","2","53"
"Gafsa","2024-03-20T14:45:00","34","18","COMPLETED","24.73","true","RAIN","AUTO","13.2","29.1","15.8","5","56"
"Mahdia","2022-08-02T09:30:00","59","55","COMPLETED","37.52","false","SUNNY","AUTO","29.4","7.6","0.9","59","10"
"Gabes","2022-12-16T09:00:00","32","12","COMPLETED","47.02","false","RAIN","AUTO","10.3","20.9","15.4","2","18"
"Sfax","2024-02-16T09:00:00","14","6","COMPLETED","5.57","false","STORM","AUTO","14.2","76.1","71.9","7","40"
"Kasserine","2023-03-29T13:45:00","42","4","COMPLETED","16.91","false","SUNNY","AUTO","24.0","5.6","0.0","66","19"
"Beja","2022-06-02T00:00:00","18","7","COMPLETED","17.59","false","SUNNY","AUTO","35.9","15.2","0.3","72","11"
"Kairouan","2025-01-22T19:15:00","58","32","COMPLETED","18.0","true","SANDSTORM","AUTO","37.0","55.1","0.0","50","57"
"Kebili","2022-11-22T07:45:00","25","19","COMPLETED","54.45","true","STORM","AUTO","10.9","108.6","46.3","7","108"
"Gabes","2024-04-08T08:30:00","45","9","COMPLETED","30.67","true","STORM","AUTO","9.4","94.4","65.0","52","99"
"El Kef","2024-04-02T22:15:00","22","4","COMPLETED","56.08","true","RAIN","AUTO","18.2","51.0","14.2","54","66"
"Djerba","2024-10-26T12:45:00","11","0","COMPLETED","49.11","false","RAIN","AUTO","11.1","27.4","22.7","52","35"
"Ariana","2024-04-04T16:45:00","15","1","COMPLETED","32.15","false","SUNNY","AUTO","35.3","18.0","0.2","3","9"
"Siliana","2024-05-14T07:15:00","46","15","COMPLETED","56.02","true","STORM","AUTO","11.4","96.5","45.6","60","77"
"Medenine","2025-02-27T18:00:00","19","18","COMPLETED","62.75","false","SUNNY","AUTO","35.5","16.2","0.4","61","4"
"Gafsa","2024-07-07T08:45:00","33","9","COMPLETED","10.51","false","SUNNY","AUTO","23.4","19.9","1.0","56","2"
"Monastir","2022-06-12T14:30:00","19","0","COMPLETED","22.19","false","SUNNY","AUTO","25.0","5.6","0.6","55","10"
"Medenine","2023-05-27T14:30:00","11","2","COMPLETED","7.11","true","SUNNY","AUTO","35.3","11.5","0.3","62","58"
"Sfax","2023-10-19T00:15:00","54","34","COMPLETED","66.24","false","SANDSTORM","AUTO","33.3","45.1","0.0","66","59"
"Gabes","2023-03-16T05:00:00","21","1","COMPLETED","40.53","false","RAIN","AUTO","11.5","50.4","19.7","49","10"
"Bizerte","2023-09-25T16:15:00","26","4","COMPLETED","10.77","false","RAIN","AUTO","13.5","40.0","15.5","3","10"
"Djerba","2023-07-21T23:45:00","36","36","COMPLETED","39.91","true","STORM","AUTO","13.3","102.0","31.2","71","89"
"Beja","2023-07-09T00:45:00","11","11","COMPLETED","70.58","false","SANDSTORM","AUTO","36.8","44.5","0.0","69","55"
"Kasserine","2024-08-03T02:15:00","55","12","COMPLETED","45.92","true","STORM","AUTO","14.0","100.6","60.0","58","60"
"Zaghouan","2024-04-24T15:30:00","60","5","COMPLETED","18.41","false","SANDSTORM","AUTO","36.5","61.7","0.0","67","74"
"Sfax","2023-02-24T06:00:00","46","0","COMPLETED","5.92","true","SUNNY","AUTO","28.4","19.3","0.2","60","18"
"Zarzis","2024-11-07T11:15:00","8","4","COMPLETED","39.31","true","STORM","AUTO","11.8","102.2","68.9","69","61"
"Tozeur","2024-01-07T11:00:00","43","27","COMPLETED","38.1","true","RAIN","AUTO","11.8","49.7","22.5","52","57"
"Monastir","2023-03-06T03:45:00","48","47","COMPLETED","34.9","true","RAIN","AUTO","21.4","39.3","12.4","67","46"
"Nabeul","2024-09-24T19:45:00","51","10","COMPLETED","10.82","false","RAIN","AUTO","19.2","22.6","21.9","64","32"
"Siliana","2023-10-14T09:45:00","25","25","COMPLETED","31.54","false","SUNNY","AUTO","35.2","17.7","0.9","60","4"
"Mahdia","2024-11-18T03:45:00","17","5","COMPLETED","32.61","false","SUNNY","AUTO","33.6","24.5","0.4","56","18"
"Zaghouan","2022-06-01T11:15:00","10","10","COMPLETED","56.72","false","SUNNY","AUTO","25.6","17.0","0.2","58","15"
"Hammamet","2025-01-25T08:30:00","53","53","COMPLETED","62.79","false","RAIN","AUTO","10.1","35.6","10.7","55","40"
"Mahdia","2024-09-25T19:00:00","46","13","COMPLETED","41.65","true","SUNNY","AUTO","37.1","13.2","0.9","62","39"
"Sfax","2024-11-17T11:45:00","37","2","COMPLETED","21.45","false","RAIN","AUTO","13.7","27.1","17.0","61","21"
"Medenine","2022-12-31T22:30:00","18","3","COMPLETED","75.84","true","SUNNY","AUTO","28.9","21.6","0.0","57","30"
"El Kef","2023-09-17T12:00:00","14","7","COMPLETED","17.98","true","SUNNY","AUTO","28.7","13.5","0.9","52","49"
"Nabeul","2024-02-23T20:45:00","48","34","COMPLETED","73.34","false","RAIN","AUTO","12.8","32.6","24.9","69","20"
"Nabeul","2024-10-30T11:45:00","16","3","COMPLETED","17.34","true","SUNNY","AUTO","31.3","8.8","0.3","3","26"
"Hammamet","2023-04-05T14:15:00","22","4","COMPLETED","23.42","true","RAIN","AUTO","19.0","32.1","23.8","71","63"
"Mahdia","2023-09-25T22:45:00","21","16","COMPLETED","14.54","false","SUNNY","AUTO","23.3","10.0","0.6","3","7"
"Beja","2023-03-16T14:15:00","48","6","COMPLETED","36.32","false","RAIN","AUTO","20.5","32.5","26.5","58","15"
"Ariana","2024-09-07T21:45:00","55","11","COMPLETED","61.93","false","SUNNY","AUTO","31.9","9.4","0.3","66","14"
"Tataouine","2022-11-21T14:15:00","14","3","COMPLETED","48.89","false","SUNNY","AUTO","34.7","18.9","0.5","60","18"
"Nabeul","2025-02-08T18:00:00","48","7","COMPLETED","51.67","true","RAIN","AUTO","12.9","35.8","12.9","51","58"
"Tozeur","2024-05-30T10:00:00","29","22","COMPLETED","73.39","false","RAIN","AUTO","11.5","23.9","21.3","52","16"
"Zaghouan","2022-08-06T12:00:00","36","17","COMPLETED","65.57","false","RAIN","AUTO","12.2","38.6","14.1","7","30"
"Gabes","2025-02-27T00:30:00","59","31","COMPLETED","12.4","true","SANDSTORM","AUTO","35.9","42.1","0.0","12","63"
"Sousse","2024-05-10T07:00:00","16","14","COMPLETED","18.6","false","SUNNY","AUTO","30.0","18.4","0.8","59","4"
"Jendouba","2024-06-12T03:15:00","21","5","COMPLETED","24.97","false","SANDSTORM","AUTO","38.9","78.3","0.0","64","47"
"Kasserine","2023-08-03T12:30:00","24","15","COMPLETED","73.26","false","STORM","AUTO","9.5","98.0","71.0","66","42"
"Kasserine","2024-05-29T03:00:00","37","10","COMPLETED","14.82","true","SUNNY","AUTO","26.9","11.5","0.4","61","18"
"Hammamet","2022-08-17T19:15:00","55","7","COMPLETED","45.86","false","STORM","AUTO","11.5","111.7","65.9","70","48"
"Beja","2024-02-06T19:45:00","9","7","COMPLETED","52.72","true","SUNNY","AUTO","26.9","20.4","0.8","55","48"
"Siliana","2025-01-29T03:00:00","12","9","COMPLETED","53.35","true","SUNNY","AUTO","36.9","23.9","0.2","68","57"
"Mahdia","2024-06-07T03:30:00","57","18","COMPLETED","18.65","false","RAIN","AUTO","15.6","30.1","25.6","65","8"
"Beja","2025-03-12T12:45:00","20","3","COMPLETED","54.64","false","STORM","AUTO","11.8","106.6","76.5","72","86"
"Sfax","2024-07-18T00:00:00","47","25","COMPLETED","69.69","false","STORM","AUTO","11.9","65.0","51.1","70","68"
"Kairouan","2022-06-07T04:00:00","35","8","COMPLETED","61.14","true","SUNNY","AUTO","23.8","14.9","0.2","59","21"
"Tunis","2023-09-16T04:15:00","27","13","COMPLETED","59.07","false","SUNNY","AUTO","27.8","22.4","0.5","53","7"
"Nabeul","2022-11-19T18:00:00","28","26","COMPLETED","23.98","true","SUNNY","AUTO","37.5","13.3","0.8","52","28"
"Zarzis","2024-02-15T13:15:00","57","38","COMPLETED","39.46","false","SUNNY","AUTO","33.2","11.9","1.0","3","16"
"Sfax","2024-03-05T12:15:00","17","13","COMPLETED","67.44","false","SUNNY","AUTO","28.4","9.6","0.9","61","14"
"Siliana","2022-07-24T19:45:00","52","43","COMPLETED","12.07","false","SUNNY","AUTO","28.4","13.5","0.3","70","4"
"Zaghouan","2023-11-13T02:00:00","60","17","COMPLETED","59.2","true","STORM","AUTO","10.1","94.0","74.1","3","51"
"Tozeur","2023-02-17T19:00:00","12","2","COMPLETED","76.36","false","RAIN","AUTO","13.2","26.2","14.7","64","36"
"Kasserine","2023-11-01T18:30:00","56","45","COMPLETED","50.95","false","SANDSTORM","AUTO","40.1","75.8","0.0","68","25"
"Nabeul","2022-07-10T04:30:00","45","9","COMPLETED","60.24","true","STORM","AUTO","12.1","76.2","73.4","62","120"
"Zarzis","2023-10-19T11:45:00","55","45","COMPLETED","6.3","false","SUNNY","AUTO","35.1","13.6","0.9","59","0"
"Sousse","2024-03-30T23:30:00","22","20","COMPLETED","63.95","false","SUNNY","AUTO","22.3","10.7","1.0","58","9"
"Ariana","2023-12-03T19:45:00","13","12","COMPLETED","42.17","true","SUNNY","AUTO","29.6","11.2","0.3","63","49"
"Jendouba","2024-04-09T04:15:00","45","29","COMPLETED","28.07","false","SUNNY","AUTO","23.7","7.8","0.7","68","5"
"Tataouine","2024-09-16T05:45:00","44","10","COMPLETED","35.61","false","RAIN","AUTO","11.0","32.6","29.0","72","19"
"Hammamet","2025-02-18T05:30:00","25","7","COMPLETED","66.86","false","STORM","AUTO","11.5","74.7","56.2","63","32"
"Medenine","2024-05-24T16:30:00","44","13","COMPLETED","52.4","false","RAIN","AUTO","14.1","39.7","8.7","72","40"
"Kasserine","2023-09-13T18:30:00","59","10","COMPLETED","36.57","true","SANDSTORM","AUTO","35.0","48.0","0.0","71","68"
"Siliana","2023-04-04T09:15:00","31","27","COMPLETED","52.4","false","SUNNY","AUTO","31.1","18.2","0.7","3","8"
"Sousse","2023-06-10T05:00:00","48","33","COMPLETED","27.75","false","SUNNY","AUTO","36.0","15.5","1.0","59","7"
"Djerba","2023-06-20T21:15:00","39","25","COMPLETED","29.47","false","SUNNY","AUTO","32.3","17.1","0.3","2","19"
"Jendouba","2023-07-26T02:15:00","24","10","COMPLETED","55.3","false","SUNNY","AUTO","36.0","20.0","0.1","3","15"
"Hammamet","2023-02-05T06:45:00","37","4","COMPLETED","59.86","false","SUNNY","AUTO","24.2","8.5","0.5","50","18"
"Hammamet","2022-08-17T11:00:00","22","13","COMPLETED","48.42","true","SUNNY","AUTO","29.7","22.5","0.8","52","48"
"Kairouan","2023-02-05T22:45:00","28","13","COMPLETED","25.8","false","RAIN","AUTO","13.9","24.8","17.8","72","10"
"Nabeul","2024-04-20T00:00:00","8","8","COMPLETED","27.33","true","SUNNY","AUTO","33.4","22.1","0.7","60","43"
"Jendouba","2023-06-09T15:30:00","43","18","COMPLETED","16.4","true","RAIN","AUTO","10.4","34.6","29.0","65","47"
"Ariana","2024-10-18T00:15:00","55","51","COMPLETED","39.36","true","SUNNY","AUTO","25.4","15.8","0.7","49","41"
"Tunis","2024-03-25T01:30:00","12","11","COMPLETED","29.09","false","SUNNY","AUTO","34.1","15.9","0.5","3","3"
"Sidi Bouzid","2023-01-16T04:45:00","33","18","COMPLETED","9.82","true","RAIN","AUTO","19.4","30.3","15.5","5","79"
"Beja","2024-11-23T13:00:00","42","6","COMPLETED","14.14","true","RAIN","AUTO","20.7","38.2","29.8","2","60"
"Tataouine","2024-03-24T05:15:00","59","22","COMPLETED","69.96","false","RAIN","AUTO","17.8","54.6","6.9","66","24"
"Ariana","2023-08-16T00:00:00","52","24","COMPLETED","69.52","false","RAIN","AUTO","11.2","34.6","15.4","69","5"
"Tunis","2023-05-16T19:00:00","57","26","COMPLETED","30.52","true","SANDSTORM","AUTO","39.2","51.9","0.0","61","62"
"Ariana","2022-06-16T00:30:00","44","20","COMPLETED","17.11","true","RAIN","AUTO","20.0","20.3","12.5","70","19"
"Siliana","2022-09-06T02:00:00","57","16","COMPLETED","59.17","false","SANDSTORM","AUTO","39.4","63.8","0.0","64","25"
"El Kef","2022-09-01T18:00:00","27","8","COMPLETED","65.14","true","SUNNY","AUTO","23.1","21.8","0.7","50","25"
"Tataouine","2023-06-20T19:30:00","10","8","COMPLETED","57.33","true","SUNNY","AUTO","23.8","21.5","0.5","58","53"
"Zaghouan","2023-02-16T06:30:00","33","7","COMPLETED","28.71","true","SUNNY","AUTO","30.5","13.6","1.0","51","30"
"Kebili","2023-04-30T23:30:00","16","0","COMPLETED","61.45","false","SUNNY","AUTO","23.9","10.9","1.0","72","18"
"Sfax","2023-01-06T08:00:00","50","31","COMPLETED","74.12","false","SUNNY","AUTO","38.0","19.8","0.3","68","15"
"Beja","2023-09-04T14:30:00","39","6","COMPLETED","61.83","false","SANDSTORM","AUTO","29.8","85.3","0.0","53","54"
"Mahdia","2024-01-04T13:15:00","8","8","COMPLETED","28.83","false","SUNNY","AUTO","28.5","21.9","0.1","55","13"
"Kasserine","2024-10-11T15:15:00","44","12","COMPLETED","47.69","false","SUNNY","AUTO","23.8","12.3","0.1","3","17"
"Sfax","2024-01-29T23:15:00","14","5","COMPLETED","30.67","false","STORM","AUTO","17.8","80.0","63.1","58","39"
"El Kef","2023-05-01T13:45:00","11","3","COMPLETED","47.86","false","SANDSTORM","AUTO","40.1","44.4","0.0","50","32"
"Monastir","2024-04-09T23:30:00","14","2","COMPLETED","29.26","true","RAIN","AUTO","12.1","27.5","25.4","58","72"
"Djerba","2024-08-23T10:30:00","19","15","COMPLETED","23.28","false","RAIN","AUTO","21.5","30.5","25.1","69","29"
"Kairouan","2023-01-30T09:45:00","26","16","COMPLETED","11.29","false","SUNNY","AUTO","30.0","15.0","0.3","7","10"
"Kasserine","2023-04-07T14:00:00","30","26","COMPLETED","69.86","false","SUNNY","AUTO","22.3","14.2","0.1","43","16"
"Kairouan","2024-08-01T04:15:00","60","22","COMPLETED","72.65","false","SUNNY","AUTO","31.1","24.0","0.9","43","8"
"Sidi Bouzid","2022-09-01T19:15:00","23","12","COMPLETED","70.6","true","SUNNY","AUTO","28.6","17.2","0.7","70","42"
"Jendouba","2023-01-31T15:30:00","57","20","COMPLETED","41.8","false","SUNNY","AUTO","36.6","19.5","0.9","12","17"
"Kasserine","2025-01-12T22:00:00","15","1","COMPLETED","13.39","false","RAIN","AUTO","12.4","29.2","16.0","50","28"
"Medenine","2024-04-05T15:30:00","49","46","COMPLETED","13.87","true","RAIN","AUTO","18.3","29.5","7.5","59","75"
"Monastir","2023-02-20T08:15:00","35","4","COMPLETED","22.69","false","SUNNY","AUTO","33.8","9.0","0.7","43","3"
"Tozeur","2023-01-19T21:45:00","26","20","COMPLETED","27.62","false","SUNNY","AUTO","37.6","15.6","0.9","54","17"
"El Kef","2023-07-24T03:30:00","34","31","COMPLETED","17.51","false","SUNNY","AUTO","30.7","18.8","0.6","55","19"
"Nabeul","2023-09-15T02:30:00","30","8","COMPLETED","79.12","true","SUNNY","AUTO","32.2","11.0","0.3","57","59"
"Tataouine","2023-11-04T16:45:00","16","15","COMPLETED","24.64","false","SUNNY","AUTO","23.1","11.8","0.2","68","9"
"Gafsa","2023-03-23T14:30:00","9","9","COMPLETED","64.16","false","SUNNY","AUTO","36.9","12.1","0.7","58","13"
"Sfax","2023-01-31T22:45:00","48","40","COMPLETED","17.02","true","SUNNY","AUTO","25.4","24.1","0.1","49","38"
"Jendouba","2024-08-15T02:45:00","39","34","COMPLETED","24.84","true","SUNNY","AUTO","35.1","18.7","0.7","53","51"
"Bizerte","2022-11-08T04:45:00","9","9","COMPLETED","70.9","false","STORM","AUTO","14.5","64.1","36.2","43","69"
"Mahdia","2022-09-13T05:00:00","39","9","COMPLETED","57.35","false","RAIN","AUTO","17.0","32.1","11.0","57","27"
"Jendouba","2025-02-12T23:30:00","57","52","COMPLETED","58.07","false","SANDSTORM","AUTO","28.1","67.4","0.0","66","72"
"Tunis","2024-11-19T00:45:00","42","28","COMPLETED","24.79","false","STORM","AUTO","17.5","108.2","35.7","5","88"
"Sousse","2023-08-09T14:00:00","56","1","COMPLETED","30.82","false","RAIN","AUTO","18.6","40.6","6.0","53","30"
"Gafsa","2024-08-28T03:45:00","31","15","COMPLETED","46.38","false","SUNNY","AUTO","27.9","13.2","0.3","62","17"
"Tunis","2025-01-25T11:15:00","42","10","COMPLETED","51.69","false","RAIN","AUTO","21.9","50.7","18.6","63","18"
"Sousse","2025-01-06T05:30:00","9","9","COMPLETED","49.03","true","RAIN","AUTO","15.6","49.1","15.6","68","35"
"Bizerte","2023-10-04T15:30:00","23","16","COMPLETED","10.23","false","SUNNY","AUTO","37.3","8.4","0.8","52","19"
"Gabes","2023-08-03T10:15:00","31","20","COMPLETED","60.92","true","SUNNY","AUTO","36.1","21.5","0.8","54","55"
"Kebili","2023-07-07T20:30:00","31","16","COMPLETED","26.96","false","SUNNY","AUTO","28.9","20.3","0.7","64","0"
"El Kef","2023-03-09T10:30:00","48","25","COMPLETED","48.42","false","SUNNY","AUTO","26.5","5.1","0.4","55","2"
"Sfax","2024-05-26T01:45:00","14","9","COMPLETED","51.87","true","RAIN","AUTO","13.3","40.6","21.8","63","48"
"Beja","2024-09-27T12:00:00","14","3","COMPLETED","16.19","false","SANDSTORM","AUTO","37.0","46.2","0.0","69","61"
"Medenine","2024-10-20T18:00:00","46","7","COMPLETED","72.47","true","SANDSTORM","AUTO","32.0","77.5","0.0","5","70"
"Nabeul","2022-12-16T21:30:00","46","7","COMPLETED","19.57","false","SUNNY","AUTO","37.6","21.5","0.5","67","10"
"Gafsa","2024-02-07T11:45:00","24","11","COMPLETED","49.55","false","SUNNY","AUTO","34.5","22.8","0.8","2","15"
"Bizerte","2023-04-16T02:15:00","56","0","COMPLETED","18.88","false","SUNNY","AUTO","36.1","23.3","0.7","70","9"
"Kairouan","2025-03-03T01:45:00","28","7","COMPLETED","35.53","true","SUNNY","AUTO","31.7","5.2","0.3","57","57"
"Sousse","2023-11-23T06:00:00","21","19","COMPLETED","39.33","false","SUNNY","AUTO","26.2","10.3","0.8","64","8"
"Tunis","2024-08-02T12:00:00","54","2","COMPLETED","57.3","true","RAIN","AUTO","13.1","30.7","21.8","67","70"
"Tunis","2023-10-06T23:15:00","58","21","COMPLETED","72.33","true","SUNNY","AUTO","30.4","15.5","0.9","60","35"
"Monastir","2024-02-03T14:30:00","32","16","COMPLETED","6.24","false","SUNNY","AUTO","35.8","18.9","0.6","68","9"
"Kasserine","2023-04-25T06:00:00","45","9","COMPLETED","41.91","true","RAIN","AUTO","15.1","47.3","15.2","53","58"
"Kairouan","2023-09-14T21:30:00","18","2","COMPLETED","48.59","true","SUNNY","AUTO","22.6","10.7","0.4","69","60"
"El Kef","2023-05-04T08:00:00","40","36","COMPLETED","65.06","false","SUNNY","AUTO","37.9","15.9","0.2","65","15"
"Beja","2023-05-03T03:00:00","22","17","COMPLETED","65.05","true","SUNNY","AUTO","26.9","14.3","0.2","58","36"
"Beja","2022-12-30T23:15:00","59","37","COMPLETED","17.44","true","RAIN","AUTO","15.1","38.2","7.7","51","61"
"Sfax","2024-05-06T19:45:00","17","4","COMPLETED","75.42","true","SUNNY","AUTO","24.1","13.8","0.5","60","20"
"Medenine","2023-07-21T04:45:00","8","1","COMPLETED","52.22","true","SUNNY","AUTO","33.8","24.2","0.4","5","39"
"Djerba","2024-07-17T00:15:00","16","11","COMPLETED","38.49","false","SUNNY","AUTO","23.7","23.7","0.6","60","13"
"Gabes","2023-10-13T10:30:00","33","26","COMPLETED","39.27","true","STORM","AUTO","13.0","73.7","75.0","12","60"
"Tozeur","2025-02-07T17:00:00","18","2","COMPLETED","66.11","false","SUNNY","AUTO","28.5","14.4","1.0","12","0"
"El Kef","2024-03-30T17:45:00","19","2","COMPLETED","78.28","true","SUNNY","AUTO","23.8","23.9","0.5","54","47"
"Sfax","2023-02-22T16:30:00","10","4","COMPLETED","36.36","true","SUNNY","AUTO","30.0","9.0","0.6","2","20"
"Gafsa","2023-04-13T00:30:00","46","31","COMPLETED","57.32","false","SUNNY","AUTO","28.2","12.9","0.4","52","13"
"Siliana","2023-06-06T06:00:00","25","17","COMPLETED","40.13","false","STORM","AUTO","14.8","69.7","44.3","68","47"
"Medenine","2023-02-14T08:45:00","42","7","COMPLETED","62.8","true","RAIN","AUTO","21.5","50.5","25.8","12","59"
"Siliana","2024-08-20T19:45:00","41","10","COMPLETED","52.07","true","SUNNY","AUTO","23.9","16.2","0.6","59","39"
"Ariana","2023-01-09T22:00:00","19","16","COMPLETED","11.99","false","STORM","AUTO","17.5","103.6","73.1","56","78"
"Mahdia","2022-12-28T01:30:00","20","15","COMPLETED","21.91","false","SUNNY","AUTO","26.2","7.4","0.4","49","9"
"Kasserine","2025-01-17T13:45:00","42","24","COMPLETED","30.91","true","SUNNY","AUTO","22.9","23.3","0.1","3","42"
"Siliana","2023-01-07T18:30:00","16","10","COMPLETED","34.43","true","SUNNY","AUTO","32.2","12.6","0.7","52","24"
"Nabeul","2022-08-27T18:30:00","10","8","COMPLETED","14.8","false","RAIN","AUTO","12.5","29.3","23.9","70","19"
"Tozeur","2023-07-16T10:15:00","13","5","COMPLETED","47.51","false","SUNNY","AUTO","37.3","6.3","0.3","3","17"
"Tataouine","2024-12-05T09:15:00","43","37","COMPLETED","64.08","true","STORM","AUTO","12.3","61.1","69.1","43","83"
"Kebili","2023-02-26T00:00:00","34","20","COMPLETED","7.53","false","SUNNY","AUTO","26.3","6.2","0.8","53","20"
"Tataouine","2023-08-02T20:45:00","19","2","COMPLETED","35.33","false","SUNNY","AUTO","22.4","19.9","0.4","7","7"
"Tunis","2023-12-18T02:30:00","30","0","COMPLETED","38.01","false","RAIN","AUTO","12.8","20.9","16.9","64","22"
